,key_press,left_stim,right_stim,confidence_rating,subject_id
0,s,A,W,0.0,sim1
1,s,X,D,0.0,sim1
2,a,A,V,0.0,sim1
3,a,W,B,0.0,sim1
4,a,B,V,0.0,sim1
5,s,Y,D,0.0,sim1
6,a,C,X,0.0,sim1
7,a,Y,C,0.0,sim1
8,a,A,W,0.0,sim1
9,s,V,B,0.0,sim1
10,s,B,W,0.0,sim1
11,s,X,D,0.0,sim1
12,s,C,Y,0.0,sim1
13,a,Y,D,0.0,sim1
14,a,A,V,0.0,sim1
15,a,X,C,0.0,sim1
16,s,B,V,0.0,sim1
17,s,X,D,0.0,sim1
18,s,B,W,0.0,sim1
19,s,Y,D,0.0,sim1
20,a,A,W,0.0,sim1
21,a,Y,C,0.0,sim1
22,s,C,X,0.0,sim1
23,a,V,A,0.0,sim1
24,a,C,Y,0.0,sim1
25,s,W,B,0.0,sim1
26,a,A,V,0.0,sim1
27,s,W,A,0.0,sim1
28,a,D,X,0.0,sim1
29,s,Y,D,0.0,sim1
30,s,B,V,0.0,sim1
31,a,X,C,0.0,sim1
32,a,C,Y,0.0,sim1
33,s,Y,D,0.0,sim1
34,s,D,X,0.0,sim1
35,s,V,B,0.0,sim1
36,a,A,V,0.0,sim1
37,a,W,A,0.0,sim1
38,a,C,X,0.0,sim1
39,s,W,B,0.0,sim1
40,a,B,W,0.0,sim1
41,s,Y,C,0.0,sim1
42,s,B,V,0.0,sim1
43,s,Y,D,0.0,sim1
44,s,D,X,0.0,sim1
45,a,X,C,0.0,sim1
46,a,A,V,0.0,sim1
47,a,W,A,0.0,sim1
48,a,C,Y,0.0,sim1
49,a,V,A,0.0,sim1
50,a,C,X,0.0,sim1
51,s,Y,D,0.0,sim1
52,s,D,X,0.0,sim1
53,s,W,B,0.0,sim1
54,s,B,V,0.0,sim1
55,a,W,A,0.0,sim1
56,s,D,X,0.0,sim1
57,s,V,B,0.0,sim1
58,a,A,W,0.0,sim1
59,a,Y,C,0.0,sim1
60,s,D,Y,0.0,sim1
61,s,W,B,0.0,sim1
62,a,A,V,0.0,sim1
63,a,X,C,0.0,sim1
64,s,D,Y,0.0,sim1
65,a,X,C,0.0,sim1
66,a,A,W,0.0,sim1
67,s,V,B,0.0,sim1
68,a,A,V,0.0,sim1
69,s,X,D,0.0,sim1
70,a,C,Y,0.0,sim1
71,s,W,B,0.0,sim1
72,s,D,X,0.0,sim1
73,a,V,A,0.0,sim1
74,s,B,V,0.0,sim1
75,a,X,C,0.0,sim1
76,a,C,Y,0.0,sim1
77,s,W,B,0.0,sim1
78,s,D,Y,0.0,sim1
79,a,W,A,0.0,sim1
80,a,C,Y,0.0,sim1
81,a,V,A,0.0,sim1
82,s,B,V,0.0,sim1
83,a,W,A,0.0,sim1
84,s,D,X,0.0,sim1
85,a,X,C,0.0,sim1
86,s,D,Y,0.0,sim1
87,s,W,B,0.0,sim1
88,s,B,V,0.0,sim1
89,a,Y,C,0.0,sim1
90,a,C,X,0.0,sim1
91,a,V,A,0.0,sim1
92,a,A,W,0.0,sim1
93,s,X,D,0.0,sim1
94,s,D,Y,0.0,sim1
95,s,W,B,0.0,sim1
96,a,C,Y,0.0,sim1
97,s,V,B,0.0,sim1
98,s,D,X,0.0,sim1
99,a,X,C,0.0,sim1
100,s,D,Y,0.0,sim1
101,s,W,B,0.0,sim1
102,a,A,V,0.0,sim1
103,a,W,A,0.0,sim1
104,s,B,V,0.0,sim1
105,s,X,D,0.0,sim1
106,a,A,V,0.0,sim1
107,s,W,B,0.0,sim1
108,s,D,Y,0.0,sim1
109,a,Y,C,0.0,sim1
110,a,C,X,0.0,sim1
111,a,W,A,0.0,sim1
112,f,A,X,0.0,sim1
113,f,J,I,0.0,sim1
114,d,D,W,0.0,sim1
115,f,V,C,0.0,sim1
116,d,B,Y,0.0,sim1
117,d,H,G,0.0,sim1
118,f,K,L,0.0,sim1
119,f,F,E,0.0,sim1
120,d,C,V,0.0,sim1
121,d,F,E,0.0,sim1
122,f,I,J,0.0,sim1
123,f,H,G,0.0,sim1
124,f,K,L,0.0,sim1
125,d,W,D,0.0,sim1
126,f,A,X,0.0,sim1
127,f,Y,B,0.0,sim1
128,f,E,F,0.0,sim1
129,f,Y,B,0.0,sim1
130,f,C,V,0.0,sim1
131,d,X,A,0.0,sim1
132,d,I,J,0.0,sim1
133,f,H,G,0.0,sim1
134,f,D,W,0.0,sim1
135,f,L,K,0.0,sim1
136,d,C,V,0.0,sim1
137,f,L,K,0.0,sim1
138,f,A,X,0.0,sim1
139,f,Y,B,0.0,sim1
140,d,E,F,0.0,sim1
141,f,J,I,0.0,sim1
142,f,G,H,0.0,sim1
143,f,W,D,0.0,sim1
144,d,V,X,3.0,sim1
145,f,L,K,3.0,sim1
146,d,A,C,3.0,sim1
147,f,D,B,3.0,sim1
148,f,W,Y,3.0,sim1
149,d,H,E,2.0,sim1
150,d,F,G,2.0,sim1
151,d,J,I,3.0,sim1
