,key_press,left_stim,right_stim,confidence_rating,subject_id
0,a,D,Y,0.0,sim9
1,s,V,A,0.0,sim9
2,s,B,W,0.0,sim9
3,s,X,C,0.0,sim9
4,a,A,W,0.0,sim9
5,s,Y,C,0.0,sim9
6,s,B,V,0.0,sim9
7,s,X,D,0.0,sim9
8,a,C,X,0.0,sim9
9,a,V,B,0.0,sim9
10,s,D,Y,0.0,sim9
11,a,W,A,0.0,sim9
12,s,B,W,0.0,sim9
13,a,X,D,0.0,sim9
14,a,A,V,0.0,sim9
15,a,Y,C,0.0,sim9
16,a,C,X,0.0,sim9
17,a,W,A,0.0,sim9
18,a,A,V,0.0,sim9
19,s,Y,D,0.0,sim9
20,s,D,X,0.0,sim9
21,a,Y,C,0.0,sim9
22,s,B,V,0.0,sim9
23,s,W,B,0.0,sim9
24,a,C,Y,0.0,sim9
25,a,Y,D,0.0,sim9
26,a,C,X,0.0,sim9
27,s,V,B,0.0,sim9
28,s,A,V,0.0,sim9
29,a,X,D,0.0,sim9
30,a,A,W,0.0,sim9
31,s,W,B,0.0,sim9
32,s,C,X,0.0,sim9
33,a,Y,C,0.0,sim9
34,a,A,W,0.0,sim9
35,s,X,D,0.0,sim9
36,s,B,V,0.0,sim9
37,s,Y,D,0.0,sim9
38,s,B,W,0.0,sim9
39,a,V,A,0.0,sim9
40,s,C,Y,0.0,sim9
41,s,X,D,0.0,sim9
42,a,A,W,0.0,sim9
43,s,Y,D,0.0,sim9
44,a,C,X,0.0,sim9
45,a,V,A,0.0,sim9
46,s,B,V,0.0,sim9
47,s,W,B,0.0,sim9
48,a,A,W,0.0,sim9
49,s,X,D,0.0,sim9
50,s,B,W,0.0,sim9
51,s,X,C,0.0,sim9
52,a,A,V,0.0,sim9
53,a,Y,C,0.0,sim9
54,s,D,Y,0.0,sim9
55,a,V,B,0.0,sim9
56,a,D,X,0.0,sim9
57,a,W,A,0.0,sim9
58,s,D,Y,0.0,sim9
59,s,W,B,0.0,sim9
60,s,A,V,0.0,sim9
61,a,X,C,0.0,sim9
62,s,B,V,0.0,sim9
63,a,Y,C,0.0,sim9
64,a,C,X,0.0,sim9
65,a,Y,C,0.0,sim9
66,a,A,V,0.0,sim9
67,a,X,D,0.0,sim9
68,s,B,W,0.0,sim9
69,s,Y,D,0.0,sim9
70,a,A,W,0.0,sim9
71,s,V,B,0.0,sim9
72,s,D,X,0.0,sim9
73,a,V,A,0.0,sim9
74,s,B,V,0.0,sim9
75,a,X,C,0.0,sim9
76,a,D,Y,0.0,sim9
77,a,Y,C,0.0,sim9
78,a,A,W,0.0,sim9
79,s,W,B,0.0,sim9
80,s,D,Y,0.0,sim9
81,a,V,A,0.0,sim9
82,a,A,W,0.0,sim9
83,a,Y,C,0.0,sim9
84,a,B,W,0.0,sim9
85,s,X,D,0.0,sim9
86,s,B,V,0.0,sim9
87,a,X,C,0.0,sim9
88,s,B,W,0.0,sim9
89,s,W,A,0.0,sim9
90,a,C,Y,0.0,sim9
91,a,V,A,0.0,sim9
92,s,B,V,0.0,sim9
93,a,Y,D,0.0,sim9
94,s,D,X,0.0,sim9
95,a,X,C,0.0,sim9
96,s,D,Y,0.0,sim9
97,a,X,C,0.0,sim9
98,s,D,X,0.0,sim9
99,a,V,B,0.0,sim9
100,a,A,V,0.0,sim9
101,a,Y,C,0.0,sim9
102,a,B,W,0.0,sim9
103,a,W,A,0.0,sim9
104,s,B,W,0.0,sim9
105,s,V,B,0.0,sim9
106,a,C,X,0.0,sim9
107,s,V,A,0.0,sim9
108,s,D,Y,0.0,sim9
109,s,X,D,0.0,sim9
110,a,A,W,0.0,sim9
111,a,Y,C,0.0,sim9
112,d,I,J,0.0,sim9
113,f,Y,B,0.0,sim9
114,d,G,H,0.0,sim9
115,d,V,C,0.0,sim9
116,f,K,L,0.0,sim9
117,f,W,D,0.0,sim9
118,f,E,F,0.0,sim9
119,d,X,A,0.0,sim9
120,d,A,X,0.0,sim9
121,d,F,E,0.0,sim9
122,d,C,V,0.0,sim9
123,d,J,I,0.0,sim9
124,d,D,W,0.0,sim9
125,f,H,G,0.0,sim9
126,d,K,L,0.0,sim9
127,f,Y,B,0.0,sim9
128,f,A,X,0.0,sim9
129,f,H,G,0.0,sim9
130,f,C,V,0.0,sim9
131,d,F,E,0.0,sim9
132,f,D,W,0.0,sim9
133,d,J,I,0.0,sim9
134,f,K,L,0.0,sim9
135,d,Y,B,0.0,sim9
136,d,C,V,0.0,sim9
137,d,X,A,0.0,sim9
138,d,D,W,0.0,sim9
139,d,J,I,0.0,sim9
140,d,E,F,0.0,sim9
141,f,Y,B,0.0,sim9
142,d,K,L,0.0,sim9
143,f,H,G,0.0,sim9
144,d,E,H,5.0,sim9
145,f,Y,W,5.0,sim9
146,d,A,C,15.0,sim9
147,f,G,F,5.0,sim9
148,f,V,X,0.0,sim9
149,f,L,K,10.0,sim9
150,f,B,D,15.0,sim9
151,d,J,I,10.0,sim9
