,key_press,left_stim,right_stim,confidence_rating,subject_id
0,a,B,W,0.0,sim0
1,a,V,A,0.0,sim0
2,a,D,Y,0.0,sim0
3,s,Y,C,0.0,sim0
4,a,C,X,0.0,sim0
5,s,X,D,0.0,sim0
6,a,A,W,0.0,sim0
7,a,V,B,0.0,sim0
8,s,D,X,0.0,sim0
9,s,V,B,0.0,sim0
10,a,A,V,0.0,sim0
11,a,W,A,0.0,sim0
12,s,B,W,0.0,sim0
13,a,Y,C,0.0,sim0
14,s,D,Y,0.0,sim0
15,a,X,C,0.0,sim0
16,s,D,X,0.0,sim0
17,a,V,A,0.0,sim0
18,a,C,X,0.0,sim0
19,s,W,B,0.0,sim0
20,a,C,Y,0.0,sim0
21,s,V,B,0.0,sim0
22,s,D,Y,0.0,sim0
23,a,W,A,0.0,sim0
24,a,C,Y,0.0,sim0
25,s,W,B,0.0,sim0
26,s,B,V,0.0,sim0
27,s,X,D,0.0,sim0
28,s,D,Y,0.0,sim0
29,a,V,A,0.0,sim0
30,a,A,W,0.0,sim0
31,a,X,C,0.0,sim0
32,s,B,V,0.0,sim0
33,a,W,A,0.0,sim0
34,s,D,Y,0.0,sim0
35,s,X,D,0.0,sim0
36,a,C,X,0.0,sim0
37,a,V,A,0.0,sim0
38,a,C,Y,0.0,sim0
39,s,W,B,0.0,sim0
40,s,B,W,0.0,sim0
41,a,W,A,0.0,sim0
42,s,D,X,0.0,sim0
43,a,Y,C,0.0,sim0
44,s,B,V,0.0,sim0
45,s,Y,D,0.0,sim0
46,a,C,X,0.0,sim0
47,a,V,A,0.0,sim0
48,a,A,V,0.0,sim0
49,s,X,D,0.0,sim0
50,a,C,X,0.0,sim0
51,s,W,B,0.0,sim0
52,a,C,Y,0.0,sim0
53,s,Y,D,0.0,sim0
54,a,A,W,0.0,sim0
55,s,V,B,0.0,sim0
56,s,D,Y,0.0,sim0
57,a,X,C,0.0,sim0
58,a,C,Y,0.0,sim0
59,s,X,D,0.0,sim0
60,a,A,V,0.0,sim0
61,s,W,B,0.0,sim0
62,s,B,V,0.0,sim0
63,a,W,A,0.0,sim0
64,s,B,V,0.0,sim0
65,s,X,D,0.0,sim0
66,s,D,Y,0.0,sim0
67,a,V,A,0.0,sim0
68,a,C,Y,0.0,sim0
69,s,W,B,0.0,sim0
70,a,C,X,0.0,sim0
71,a,W,A,0.0,sim0
72,s,B,W,0.0,sim0
73,s,Y,D,0.0,sim0
74,a,A,V,0.0,sim0
75,s,V,B,0.0,sim0
76,s,D,X,0.0,sim0
77,a,Y,C,0.0,sim0
78,a,C,X,0.0,sim0
79,a,W,A,0.0,sim0
80,s,B,V,0.0,sim0
81,a,X,C,0.0,sim0
82,s,D,X,0.0,sim0
83,a,V,A,0.0,sim0
84,a,A,W,0.0,sim0
85,s,W,B,0.0,sim0
86,a,C,Y,0.0,sim0
87,s,Y,D,0.0,sim0
88,a,A,V,0.0,sim0
89,s,X,D,0.0,sim0
90,s,B,W,0.0,sim0
91,a,W,A,0.0,sim0
92,a,C,Y,0.0,sim0
93,s,V,B,0.0,sim0
94,s,D,Y,0.0,sim0
95,a,X,C,0.0,sim0
96,a,A,V,0.0,sim0
97,a,Y,C,0.0,sim0
98,a,A,W,0.0,sim0
99,s,X,D,0.0,sim0
100,s,B,W,0.0,sim0
101,a,X,C,0.0,sim0
102,s,B,V,0.0,sim0
103,s,Y,D,0.0,sim0
104,a,C,Y,0.0,sim0
105,s,Y,D,0.0,sim0
106,s,B,V,0.0,sim0
107,s,W,B,0.0,sim0
108,a,A,V,0.0,sim0
109,a,W,A,0.0,sim0
110,s,D,X,0.0,sim0
111,a,X,C,0.0,sim0
112,d,E,F,0.0,sim0
113,d,L,K,0.0,sim0
114,d,G,H,0.0,sim0
115,d,Y,B,0.0,sim0
116,f,D,W,0.0,sim0
117,f,V,C,0.0,sim0
118,f,A,X,0.0,sim0
119,d,J,I,0.0,sim0
120,f,K,L,0.0,sim0
121,d,V,C,0.0,sim0
122,d,E,F,0.0,sim0
123,d,J,I,0.0,sim0
124,f,D,W,0.0,sim0
125,f,H,G,0.0,sim0
126,f,B,Y,0.0,sim0
127,d,X,A,0.0,sim0
128,d,C,V,0.0,sim0
129,d,F,E,0.0,sim0
130,f,B,Y,0.0,sim0
131,f,W,D,0.0,sim0
132,d,I,J,0.0,sim0
133,f,L,K,0.0,sim0
134,f,G,H,0.0,sim0
135,d,X,A,0.0,sim0
136,f,D,W,0.0,sim0
137,f,Y,B,0.0,sim0
138,d,C,V,0.0,sim0
139,f,H,G,0.0,sim0
140,d,A,X,0.0,sim0
141,d,F,E,0.0,sim0
142,d,I,J,0.0,sim0
143,f,L,K,0.0,sim0
144,d,V,X,9.0,sim0
145,d,H,E,5.0,sim0
146,d,I,J,10.0,sim0
147,f,L,K,10.0,sim0
148,f,B,D,11.0,sim0
149,d,C,A,11.0,sim0
150,d,F,G,5.0,sim0
151,f,Y,W,9.0,sim0
