,key_press,left_stim,right_stim,confidence_rating,subject_id
0,s,D,X,0.0,sim3
1,s,V,A,0.0,sim3
2,s,C,X,0.0,sim3
3,s,Y,D,0.0,sim3
4,a,A,W,0.0,sim3
5,a,W,B,0.0,sim3
6,s,B,V,0.0,sim3
7,a,Y,C,0.0,sim3
8,s,B,W,0.0,sim3
9,a,V,A,0.0,sim3
10,a,C,X,0.0,sim3
11,a,W,A,0.0,sim3
12,a,C,Y,0.0,sim3
13,s,V,B,0.0,sim3
14,s,D,X,0.0,sim3
15,s,Y,D,0.0,sim3
16,a,A,V,0.0,sim3
17,s,W,B,0.0,sim3
18,a,C,X,0.0,sim3
19,s,V,B,0.0,sim3
20,s,D,Y,0.0,sim3
21,a,W,A,0.0,sim3
22,s,D,X,0.0,sim3
23,a,Y,C,0.0,sim3
24,s,B,V,0.0,sim3
25,a,X,C,0.0,sim3
26,s,D,X,0.0,sim3
27,a,Y,C,0.0,sim3
28,a,A,V,0.0,sim3
29,a,W,A,0.0,sim3
30,s,D,Y,0.0,sim3
31,s,W,B,0.0,sim3
32,a,A,V,0.0,sim3
33,s,V,B,0.0,sim3
34,a,A,W,0.0,sim3
35,a,Y,C,0.0,sim3
36,s,D,X,0.0,sim3
37,s,W,B,0.0,sim3
38,a,C,X,0.0,sim3
39,s,Y,D,0.0,sim3
40,s,D,Y,0.0,sim3
41,a,Y,C,0.0,sim3
42,s,D,X,0.0,sim3
43,s,W,B,0.0,sim3
44,a,C,X,0.0,sim3
45,a,W,A,0.0,sim3
46,s,B,V,0.0,sim3
47,a,V,A,0.0,sim3
48,s,B,V,0.0,sim3
49,s,W,B,0.0,sim3
50,a,A,W,0.0,sim3
51,a,Y,C,0.0,sim3
52,a,C,X,0.0,sim3
53,s,X,D,0.0,sim3
54,a,A,V,0.0,sim3
55,s,Y,D,0.0,sim3
56,s,D,Y,0.0,sim3
57,a,Y,C,0.0,sim3
58,s,D,X,0.0,sim3
59,s,V,B,0.0,sim3
60,a,C,X,0.0,sim3
61,s,W,B,0.0,sim3
62,a,A,V,0.0,sim3
63,a,W,A,0.0,sim3
64,s,B,W,0.0,sim3
65,s,X,D,0.0,sim3
66,a,C,Y,0.0,sim3
67,s,Y,D,0.0,sim3
68,a,A,W,0.0,sim3
69,a,V,A,0.0,sim3
70,a,C,X,0.0,sim3
71,s,V,B,0.0,sim3
72,a,C,Y,0.0,sim3
73,s,W,B,0.0,sim3
74,s,B,V,0.0,sim3
75,s,Y,D,0.0,sim3
76,a,A,V,0.0,sim3
77,s,X,D,0.0,sim3
78,a,C,X,0.0,sim3
79,a,W,A,0.0,sim3
80,s,B,W,0.0,sim3
81,a,W,A,0.0,sim3
82,a,C,X,0.0,sim3
83,a,V,A,0.0,sim3
84,a,C,Y,0.0,sim3
85,s,X,D,0.0,sim3
86,s,D,Y,0.0,sim3
87,s,V,B,0.0,sim3
88,s,D,Y,0.0,sim3
89,a,Y,C,0.0,sim3
90,s,B,V,0.0,sim3
91,a,X,C,0.0,sim3
92,s,B,W,0.0,sim3
93,s,X,D,0.0,sim3
94,a,A,W,0.0,sim3
95,a,V,A,0.0,sim3
96,s,B,V,0.0,sim3
97,s,W,B,0.0,sim3
98,a,A,V,0.0,sim3
99,s,Y,D,0.0,sim3
100,a,A,W,0.0,sim3
101,a,X,C,0.0,sim3
102,s,D,X,0.0,sim3
103,a,Y,C,0.0,sim3
104,s,D,Y,0.0,sim3
105,a,X,C,0.0,sim3
106,s,B,W,0.0,sim3
107,s,V,B,0.0,sim3
108,a,C,Y,0.0,sim3
109,s,X,D,0.0,sim3
110,a,A,W,0.0,sim3
111,a,V,A,0.0,sim3
112,d,A,X,0.0,sim3
113,f,L,K,0.0,sim3
114,d,B,Y,0.0,sim3
115,f,F,E,0.0,sim3
116,d,D,W,0.0,sim3
117,d,J,I,0.0,sim3
118,d,C,V,0.0,sim3
119,f,H,G,0.0,sim3
120,f,K,L,0.0,sim3
121,f,W,D,0.0,sim3
122,f,G,H,0.0,sim3
123,d,V,C,0.0,sim3
124,d,E,F,0.0,sim3
125,f,Y,B,0.0,sim3
126,d,A,X,0.0,sim3
127,d,J,I,0.0,sim3
128,f,G,H,0.0,sim3
129,d,X,A,0.0,sim3
130,d,E,F,0.0,sim3
131,f,Y,B,0.0,sim3
132,f,K,L,0.0,sim3
133,d,V,C,0.0,sim3
134,d,I,J,0.0,sim3
135,f,W,D,0.0,sim3
136,f,D,W,0.0,sim3
137,d,J,I,0.0,sim3
138,d,C,V,0.0,sim3
139,d,X,A,0.0,sim3
140,f,B,Y,0.0,sim3
141,f,H,G,0.0,sim3
142,f,K,L,0.0,sim3
143,d,F,E,0.0,sim3
144,f,K,L,10.0,sim3
145,f,D,B,11.0,sim3
146,f,F,G,5.0,sim3
147,f,Y,W,9.0,sim3
148,d,V,X,9.0,sim3
149,f,H,E,5.0,sim3
150,d,A,C,11.0,sim3
151,d,J,I,10.0,sim3
